num_qubits,k,cost_with_mems,cost_without_mems,i_with_mems,i_without_mems
3,2,0.0008776529334793182,0.0008665638276300358,63.16,64.76
3,3,0.0008424335647596859,0.0008723226044291899,62.6,64.84
3,4,0.0008194326413741537,0.000935209865768396,61.44,72.56
3,5,0.0008740597900930514,0.0008533336159547967,60.88,64.04
3,6,0.0008935821210666894,0.0008568011438756695,58.92,64.56
3,7,0.0008438138511983162,0.0008601821920179376,55.2,64.36
3,8,0.000918246081166334,0.000780238657891239,59.88,63.92
3,9,0.0008846277101554944,0.0008681188625132296,57.84,64.72
3,10,0.0008721634665723066,0.000876095849042522,57.04,64.36
3,11,0.0008363694400540122,0.0008992928497811193,60.8,63.0
3,12,0.0008734827652470755,0.0008957715729758098,54.56,64.32
3,13,0.0008454260040435857,0.0008596893976647779,57.0,64.12
3,14,0.0008705313773211243,0.0008415222489293228,57.48,64.52
3,15,0.0008686900499606454,0.0008646271716141473,53.52,68.0
3,16,0.0008596801106160923,0.0008841481797275064,57.6,63.8
3,17,0.000860831193757261,0.0008731164627010557,54.84,63.68
3,18,0.0008816030137961839,0.0008973756698652569,53.68,65.6
3,19,0.0008912400594834891,0.0009191685434084551,53.08,64.4
