num_qubits,k,cost_with_mems,cost_without_mems,i_with_mems,i_without_mems
5,2,0.0009761874815648941,0.001003046877867786,115.08,127.72
5,3,0.0009696164531100581,0.0010107562206628717,105.44,137.8
5,4,0.0010834000117571295,0.0013365304133189637,114.76,136.12
5,5,0.0009805819436919671,0.0009835650528334573,123.36,131.56
5,6,0.0010487672099912615,0.0009735648017870835,110.56,140.16
5,7,0.0009911077978872385,0.0011250708601131354,112.84,127.68
5,8,0.0010982747842889396,0.0010483232193894932,115.52,137.48
5,9,0.0010096291267037661,0.001223195393458485,124.96,125.76
5,10,0.000977186426980241,0.001100627788583024,106.68,133.0
5,11,0.0010019743660887536,0.0010338070230024288,108.16,149.64
5,12,0.001019256232358372,0.000993225915517466,108.04,133.36
5,13,0.001102516111037879,0.0009829490298133869,114.16,132.32
5,14,0.0010258136015925423,0.0013114281928040805,113.52,146.52
5,15,0.0009711095847559026,0.001010264712081317,119.16,142.36
5,16,0.0010068359779903259,0.0009857979355523882,112.72,140.84
5,17,0.0010062277717322265,0.0011601757921187162,114.48,135.68
5,18,0.0009988953477337282,0.0011396491241810526,104.0,137.44
5,19,0.0009947553871286542,0.0010451785017762383,112.04,132.2
